round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,epochs,losses
80,0.07425581759983493,0.9354838478949762,0.07100218774810914,0.9677419306770447,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,80,logcosh
80,0.49004646558915416,0.9677419239474881,0.4808814900536691,0.983870961973744,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,80,binary_crossentropy
100,0.08605041114553329,0.9677419239474881,0.06898177991951665,0.991935480986872,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,100,logcosh
100,0.48542734211491,0.9677419239474881,0.4759861370248179,0.983870961973744,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,100,binary_crossentropy
150,0.07540148628815528,0.9677419239474881,0.06909064215517813,0.9677419325997753,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,150,logcosh
150,0.48643412320844587,0.9354838478949762,0.4578650382257277,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,150,binary_crossentropy
40,0.08111020297773423,0.9354838748132029,0.07752804001492838,0.9354838748132029,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,40,logcosh
40,0.5203036819734881,0.9032258122198044,0.48988217403811796,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,40,binary_crossentropy
80,0.08273254238790081,0.9677419374066014,0.07275969523095316,0.9596774212775692,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,80,logcosh
80,0.48624361426599566,0.9677419374066014,0.47489379586712005,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,80,binary_crossentropy
100,0.07275910002569999,0.9677419374066014,0.07048978902880222,0.9758064530549511,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,100,logcosh
100,0.49532317346142185,0.9677419374066014,0.47267382375655637,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,100,binary_crossentropy
150,0.07198552282587174,0.9677419374066014,0.06847854006674982,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,150,logcosh
150,0.4876772876708738,0.9677419374066014,0.46706851379525277,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,150,binary_crossentropy
40,0.08085720072830876,0.9677419374066014,0.07372133938535567,0.9677419374066014,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,40,logcosh
40,0.5334949839499689,0.967741935483871,0.49234928815595563,0.9758064535356337,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,40,binary_crossentropy
80,0.08769259866206877,0.8387096831875462,0.07270218888598104,0.9596774193548387,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,80,logcosh
80,0.5030575452312347,0.9677419374066014,0.4796885646158649,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,80,binary_crossentropy
100,0.07908711294012685,0.9677419374066014,0.07175451781480544,0.9758064516129032,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,100,logcosh
100,0.4896931552117871,0.9677419374066014,0.48023474697143803,0.9838709677419355,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,100,binary_crossentropy
150,0.07288868052344169,0.9677419374066014,0.06683339899586092,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,150,logcosh
150,0.4793386891964943,0.9677419374066014,0.461519286517174,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,150,binary_crossentropy
40,0.0850281025613508,0.8387096735738939,0.07695073093618116,0.9354838748132029,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,40,logcosh
40,0.5177994928052349,1.0,0.48916102128644146,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,40,binary_crossentropy
80,0.07614012639368734,0.9354838748132029,0.07004026101241188,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,80,logcosh
80,0.4968644447865025,0.9677419239474881,0.48655618054251515,0.9758064530549511,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,80,binary_crossentropy
100,0.07184602608603816,0.9677419374066014,0.07220018444763075,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,100,logcosh
